tokens,examples
"('comprehensive', 'adjective')","When there are diametrically opposing views on a big issue that concerns millions of people, doing comprehensive research just makes sense."
"('seal', 'noun')",The seals in the harbor looked better than they smelled.
"('deflowered', 'adjective')",deflowered
"('veteran', 'noun')","Synonyms: old hand, warhorse"
"('frenzied', 'adjective')",Preparations for the president's arrival made for a frenzied week.
"('ring', 'noun')","Synonyms: annulus, hoop, torus"
"('specialized', 'adjective')",specialized
"('assurance', 'noun')","Whereof he hath given assurance unto all men, in that he hath raised him from the dead."
"('shower', 'noun')",Today there will be frequent showers and some sunny spells.
"('jury', 'noun')","And so the jury and he approached, as if this were a time of peace instead of one of the greatest world disturbances ever known in history, the question whether the prosecution had proved to the jury’s satisfaction that George Joseph Smith was guilty of murder. The jury were the shield which stood between him and death, unless, to the jury’s satisfaction, he was proved to be guilty. Yet while they were the shield of the man accused, they were also the Sword of the State; and if the man were proved guilty, they were the servants of the State to punish him. Their respective functions were these: he the judge, had to settle the law, and the jury must take the law from him. The jury were judges of fact."
"('henley', 'None')",henley
"('walkway', 'noun')",SDCC is crowded enough without a few hundred more chuds in rascal scooters cutting in line and taking up space on the public walkways because they heard the cast of The Big Bang Theory was going to be here or something.
"('1874', 'None')",1874
"('participant', 'noun')",All participants must adhere to the rules of the competition.
"('distributed', 'adjective')",distributed
"('blois', 'None')",blois
"('sullivan', 'None')",sullivan
"('diameter', 'noun')",diameter
"('racial', 'adjective')",the racial complexion
"('continuance', 'noun')","Now stands the Brere like a lord alone, / Puffed up with pryde and vaine pleasaunce. / But all this glee had no continuaunce: / For eftsones winter gan to approche; / The blustering Boreas did encroche, / And beate upon the solitarie Brere; / For nowe no succoure was seene him nere."
"('stoop', 'verb')",He stooped to tie his shoe-laces.
"('noteworthy', 'adjective')",Zukertort represent the other most noteworthy tournaments.
"('treat', 'noun')",I took the kids to the zoo for a treat.
"('300,000', 'None')","300,000"
"('parliamentarian', 'noun')","Synonyms: congressman, MP, deputy"
"('strict', 'adjective')",strict embrace
"('campbell', 'None')",campbell
"('work', 'noun')",Synonyms: see Thesaurus:occupation
"('in excess of', 'preposition')",in excess of
"('drink', 'verb')",He drank the water I gave him.
"('today', 'adverb')",I want this done today.
"('interpretation', 'noun')","The interpretation of a dream, or of an enigma"
"('eh', 'None')",eh
"('elliot', 'None')",elliot
"('badly', 'adverb')",Things are going badly for her: she did badly in her exams owing to a badly designed studying schedule.
"('i.e.', 'adverb')","While the final episode was made, the show itself was immediately cancelled after the penultimate episode i.e. the final episode never aired."
"('scrubber', 'noun')","‘He was a real scrubber that old feller,’ he confided gleefully. ‘No one never got a tag on him before this.’"
"('except', 'preposition')",There was nothing in the cupboard except a tin of beans.
"('climb', 'verb')",Prices climbed steeply.
"('robinson', 'None')",robinson
"('seam', 'noun')","Mind you, clothes were clothes in those days. […]  Frills, ruffles, flounces, lace, complicated seams and gores: not only did they sweep the ground and have to be held up in one hand elegantly as you walked along, but they had little capes or coats or feather boas."
"('wan', 'adjective')",Synonyms: see Thesaurus:pallid
"('tick-off', 'adjective')",tick-off
"('tunic', 'noun')","As soon as Julia returned with a constable, Timothy, who was on the point of exhaustion, prepared to give over to him gratefully. The newcomer turned out to be a powerful youngster, fully trained and eager to help, and he stripped off his tunic at once."
"('extension', 'noun')",Next month the house is undergoing an extension.
"('attempt', 'noun')","We made an attempt to cross the stream, but didn't manage."
"('jennifer', 'None')",jennifer
"('old-timer', 'noun')",Some of the old-timers around here might be able to tell you how it all began.
"('suffering', 'noun')","Robins, of Torquay, had denied a single charge of causing unnecessary suffering to an animal. She claimed the microwave was accidentally turned on by one of the cats after the kitten got inside. But Knutton said the kitten was too small to even get onto the work surface."
"('186', 'None')",186
"('pension-linked', 'adjective')",pension-linked
"('confirmed', 'adjective')",a confirmed liar
"('rust', 'noun')",The rust on my bicycle chain made cycling to work very dangerous.
"('tudor', 'None')",tudor
"('£800', 'noun')",£800
"('azimuthal', 'adjective')",azimuthal
"('mass', 'None')",mass
"('chip', 'noun')","The universe is finished; the copestone is on, and the chips were carted off a million years ago."
"('rochelle', 'None')",rochelle
"('copse', 'noun')",Synonym: mott
"('exactly', 'adverb')",Measure exactly so we can be sure it is right.
"('newington', 'None')",newington
"('face', 'verb')",Face the sun.
"('along with', 'preposition')","She fired all the journalists in the company, along with some of the administration workers."
"('research', 'noun')","In an era when political leaders promise deliverance from decline through America’s purported preeminence in scientific research, the news that science is in deep trouble in the United States has been as unwelcome as a diagnosis of leukemia following the loss of health insurance."
"('frederica', 'None')",frederica
"('cash', 'noun')","After you bounced those checks last time, they want to be paid in cash."
"('spawn', 'verb')",The Web server spawns a new process to handle each client's request.
"('across', 'adverb')","[The researchers] noticed many of their pieces of [plastic marine] debris sported surface pits around two microns across. Such pits are about the size of a bacterial cell. Closer examination showed that some of these pits did, indeed, contain bacteria, […]."
"('irreverent', 'adjective')",an irreverent new work
"('categorise', 'verb')",categorise
"('till', 'noun')",Pull all the tills and lock them in the safe.
"('montpellier', 'None')",montpellier
"('woman', 'noun')","But this woman is a nice German woman that fell on the ice and sprained her ankle last winter, and we saw to her well as we could till she got better."
"('station', 'noun')",The next station is Esperanza.
"('disadvantage', 'noun')",The disadvantage to owning a food processor is that you have to store it somewhere.
"('philosophy', 'noun')","Philosophy is often divided into five major branches: logic, metaphysics, epistemology, ethics and aesthetics."
"('manner', 'noun')",The treacherous manner of his mournful death.
"('license', 'noun')",Hello. I would like to buy a fish licence please.
"('compensation', 'noun')","Human labor, through all its forms, from the sharpening of a stake to the construction of a city or an epic, is one immense illustration of the perfect compensation of the universe."
"('student', 'noun')","Synonyms: candlewaster, scholar, devotee, disciple"
"('dwell', 'verb')",I am fully resolved to go dwell in another house.
"('effective', 'adjective')",Synonym: efficacious
"('perfectly', 'adverb')",They completed the first series perfectly.
"('nineteen-year-old', 'noun')",nineteen-year-old
"('explicitly', 'adverb')",The fifth amendment to the United States constitution provides explicitly for the protection of private property.
"('altogether', 'adverb')",Police did not seem altogether satisfied with my alibi.
"('intellectualism', 'noun')",intellectualism
"('scare', 'verb')","Did it scare you when I said ""Boo!""?"
"('equal', 'noun')",We're all equals here.
"('simulation', 'noun')",This exercise is a simulation of actual battle conditions.
"('20th-century', 'adjective')",20th-century
"('disabling', 'adjective')",disabling
"('sarong-style', 'noun')",sarong-style
"('ambiguity', 'noun')",His speech was made with such great ambiguity that neither supporter nor opponent could be certain of his true position.
"('girl', 'noun')",Synonyms: see Thesaurus:girl
"('inexperienced', 'adjective')",inexperienced
"('dipper', 'noun')",A chocolate dipper dips the cream centers into warm chocolate by hand; when taken out the creams are shaped [...]
"('pepper', 'noun')","Some ballparks have signs saying ""No pepper games""."
"('wrongness', 'noun')",Synonym: wrength
"('sergeant', 'noun')","“Yes, there are two distinct sets of footprints, both wearing rubber shoes—one I think ordinary plimsolls, the other goloshes,” replied the sergeant."
"('booth', 'noun')",booth
"('blow', 'noun')",We're having a bit of a blow this afternoon.
"('unionist', 'noun')",unionist
"('1989/90', 'None')",1989/90
"('accelerate', 'verb')","to accelerate the growth of a plant, the increase of wealth, etc."
"('getting on for', 'adverb')",getting on for
"('christies', 'None')",christies
"('explore', 'verb')",The committee has been exploring alternative solutions to the problem at hand.
"('picon', 'noun')",picon
"('proxy', 'noun')","Every peer  […]  may make another lord of parliament his proxy, to vote for him in his absence."
"('wheel', 'verb')","Wheel that trolley over here, would you?"
"('victoria', 'None')",victoria
"('mop', 'verb')",to mop  a floor
"('conductivity', 'noun')",conductivity
"('kiddy', 'noun')",kiddy
"('viewpoint', 'noun')",From the top of the hill you get a good viewpoint of the town.
"('sector', 'noun')","Seeing the British establishment struggle with the financial sector is like watching an alcoholic who still resists the idea that something drastic needs to happen for him to turn his life around. Until 2008 there was denial over what finance had become. When a series of bank failures made this impossible, there was widespread anger, leading to the public humiliation of symbolic figures."
"('friendly', 'noun')","This match is merely a friendly, so don't worry too much about it."
"('fearlessly', 'adverb')","The swallows, which had been tempted here in great numbers on account of the quantity of insects to be found in proximity to the wood, and had established themselves in the barn and under the eaves, were gambolling, circling, and twittering fearlessly about in the sunshine."
"('cap', 'noun')",Hyponyms: see Thesaurus:headwear
"('another', 'None')",another
"('dull', 'verb')",Years of misuse have dulled the tools.
"('correspondence', 'noun')",correspondence
"('cafe', 'noun')",cafe
"('warbling', 'noun')",the warblings of birds in the hedgerows
"('publication', 'noun')","The publication of these papers was not owing to our folly, but that of others."
"('cut-throat', 'adjective')",cut-throat
"('aun', 'None')",aun
"('fart', 'noun')","I think I heard a fart. Was it you, Nigel?"
"('may', 'None')",may
"('leave', 'noun')","Having counted 38 points he tried a beautiful massé out of the corner, hit the first ball just a trifle too hard and kissed his own ball off just when victory seemed to be his. The leave was unfortunate for Ives. Slosson played brilliantly and ran the game out, a close winner, with 22 points."
"('tonic', 'noun')",We used to brew a tonic from a particular kind of root.
"('revere', 'verb')",a highly revered musician
"('assistant', 'adjective')",an assistant surgeon
"('booze', 'noun')","The glutton castaway, the drunkard in the desert, the lecher in prison, they are the happy ones. To hunger, thirst, lust, every day afresh and every day in vain, after the old prog, the old booze, the old whores, that's the nearest we'll ever get to felicity, the new porch and the very latest garden."
"('launch', 'verb')","There they were met by four thousand Ha'apa'a warriors, who launched a volley of stones and spears […]"
"('burn', 'verb')",He burned his manuscript in the fireplace.
"('much-thumbed', 'adjective')",much-thumbed
"('bluish-green', 'adjective')",bluish-green
"('hope', 'None')",hope
"('broad-band', 'adjective')",broad-band
"('hire', 'verb')",Synonym: rent
"('mournful', 'adjective')","Having deposited our mournful burden upon tressels within this region of horror, we partially turned aside the yet unscrewed lid of the coffin, and looked upon the face of the tenant."
"('standardise', 'verb')",standardise
"('separate', 'verb')",Separate the articles from the headings.
"('exert', 'verb')",I exerted myself in today's training.
"('hanford', 'None')",hanford
"('season', 'noun')","Synonyms: yeartide, yeartime"
"('well-structured', 'adjective')",well-structured
"('just', 'adjective')",It is a just assessment of the facts.
"('erik', 'None')",erik
"('flamboyant', 'noun')","The schooners moored to the quay are trim and neat, the little town along the bay is white and urbane, and the flamboyants, scarlet against the blue sky, flaunt their colour like a cry of passion."
"('void', 'noun')",Nobody has crossed the void since one man died trying three hundred years ago; it's high time we had another go.
"('stability', 'noun')",This platform offers good stability
"('subsequently', 'adverb')","It will be recollected that the ill-fated Halloway...distinctly stated the voice of the individual who had approached his post...to have been that of a female, and that the language in which they subsequently conversed was that of the Ottawa Indians."
"('in terms of', 'preposition')",If x=2y then 5x can be expressed in terms of y as 10y.
"('tied-up', 'adjective')",tied-up
"('initiate', 'verb')",How are changes of this sort to be initiated?
"('fierceness', 'noun')","I stroked it gently, on which the mutinous rogue seemed to swell, and gather a new degree of fierceness and insolence; so that finding it grew not to be trifled with any longer, I prepar'd for rubbers in good earnest."
"('scarborough', 'None')",scarborough
"('further', 'verb')","In happie houre we haue ſet the CrowneUpon your Kingly head, that ſeeks our honor,In ioyning with the man, ordain’d by heauenTo further euerie action to the beſt."
"('glower', 'verb')","[...] Last Morning I was unco airly out, / Upon a Dyke I lean'd and glowr'd about; / I ſaw my Meg come linkan o'er the Lee, / I ſaw my Meg, but Maggie ſaw na me: [...]"
"('wax', 'verb')","Synonyms: buff, shine, polish, furbish, burnish"
"('sophie', 'None')",sophie
"('curl', 'noun')","[…] she took it down, looked long and fondly at it, then, shaking her curls about her face, as if to hide the act, pressed it to her lips and seemed to weep over it in an uncontrollable paroxysm of tender grief."
"('a lot', 'adverb')","Mostly, the microbiome is beneficial. It helps with digestion and enables people to extract a lot more calories from their food than would otherwise be possible. Research over the past few years, however, has implicated it in diseases from atherosclerosis to asthma to autism."
"('german', 'adjective')",brother-german
"('ewing', 'None')",ewing
"('parchment', 'noun')","At twilight in the summer there is never anybody to fear—man, woman, or cat—in the chambers and at that hour the mice come out. They do not eat parchment or foolscap or red tape, but they eat the luncheon crumbs."
"('stiletto', 'noun')","There the cause of death was soon ascertained; the victim of this daring outrage had been stabbed to death from ear to ear with a long, sharp instrument, in shape like an antique stiletto, which, I may tell you, was subsequently found under the cushions of the hansom."
"('fly', 'noun')","Devils Lake is where I began my career as a limnologist in 1964, studying the lake’s neotenic salamanders and chironomids, or midge flies. […] The Devils Lake Basin is an endorheic, or closed, basin covering about 9,800 square kilometers in northeastern North Dakota."
"('palate', 'noun')",Synonym: uraniscus
"('propagation', 'noun')",propagation
"('alike', 'adverb')",We are all alike concerned in religion.
"('vote', 'noun')",The city council decided the matter should go to public vote.
"('diego', 'None')",diego
"('definition', 'noun')","Your definition of ""elephant"" needs to be more precise than ""a big animal with large ears""."
"('qc', 'None')",qc
"('elder', 'noun')",We were presented to the village elder.
"('handwriting', 'noun')","He took up the letter: well did he know the delicate and graceful handwriting; but he saw that the characters were tremulous, and it had obviously been written at different times."
"('school', 'verb')",Many future prime ministers were schooled in Eton.
"('surgery', 'noun')",Surgery is often necessary to prevent cancer from spreading.
"('grossman', 'None')",grossman
"('peking', 'None')",peking
"('billy', 'None')",billy
"('academia', 'noun')","Since the launch early last year of  […]  two Silicon Valley start-ups offering free education through MOOCs, massive open online courses, the ivory towers of academia have been shaken to their foundations. University brands built in some cases over centuries have been forced to contemplate the possibility that information technology will rapidly make their existing business model obsolete."
"('june', 'None')",june
"('relaxed', 'adjective')","It was a very wet morning. I woke relaxed and melancholy as in the country, and walked about an hour under cover, in the middle of the town  […] ."
"('imply', 'verb')","The proposition that ""all dogs are mammals"" implies that my dog is a mammal."
"('alight', 'adjective')",The burning embers and the dry wind quickly set the whole neighbourhood alight.
"('edholm', 'None')",edholm
"('sideline', 'noun')","Like most other fishes, the dragonet varies slightly in colour in different individuals, and at different seasons of the year. Mr. Pennant describes the pupils of the eyes to be of a rich sapphirine blue; the irides fine fiery carbuncle; the pectoral fins light brown; the side-line straight; the colours of the fish yellow, blue, and white, making a beautiful appearance when fresh taken."
"('marconi', 'None')",marconi
"('facet', 'noun')",This facet of the diamond was masterfully cut to enhance its value.
"('dub', 'noun')","And kettle-drums, whose sullen dub Sounds like the hooping of a tub"
"('oh', 'None')",oh
"('far', 'adverb')",You have all come far and you will go farther.
"('right', 'adverb')",The arrow landed right in the middle of the target.
"('airport', 'noun')","Because of this, and contrary to popular belief, British airports primarily act as giant wealth extractors, transporting our richest citizens out of the country as often as possible to take their money overseas."
"('yesterday', 'adverb')",Synonym:  the last day
"('conversely', 'adverb')","If two parallelograms, which have one angle of the one equal to one angle of the other, be equal to one another, the sides about the equal angles are reciprocally proportional, and conversely."
"('consciousness', 'noun')","Although the Celebrity was almost impervious to sarcasm, he was now beginning to exhibit visible signs of uneasiness, the consciousness dawning upon him that his eccentricity was not receiving the ovation it merited."
"('oceanic', 'adjective')",oceanic
"('ensemble', 'noun')","On paper, Continental Drift boasts a jaw-dropping voice cast, including but not limited to Jennifer Lopez, Patrick Stewart, Wanda Sykes, Aziz Ansari, Simon Pegg, Nick Frost, Nicki Minaj, Drake, and Alan Tudyk. But in practice, the overstuffed ensemble leaves the cast no room to distinguish themselves, and directors Steve Martino and Michael Thurmeier don’t seem interested in coaxing performances that might render their money stars less identifiable."
"('palladian', 'adjective')",palladian
"('verse', 'noun')",Synonym: poetry
"('claystone', 'noun')",claystone
"('limit', 'verb')",We need to limit the power of the executive.
"('lovett', 'None')",lovett
"('tariff', 'noun')","There is a tariff in every carriage, and most of them also have taxometers."
"('formerly', 'adverb')","Xenia Robertson, formerly known as Xenia Isaamov, is from Ukraine."
"('maslow', 'None')",maslow
"('vice', 'adjective')",vice president
"('detect', 'verb')","Diesel maintenance schedules are benefiting from work done on the magnificent Hilger & Watts electronic spectrograph for oil analysis, which detects minute quantities of metals in samples of used lubricating oil; [...]."
"('lesser', 'adjective')",Antonym: greater
"('bi', 'noun')","For some reason, I'm feeling _very_ sensitive to bi-discrimination tonight. I'm really not trying to mock the points being made here, it's just that many of the same arguments can be turned around and used to describe the discrimination that bis face."
"('marshall', 'None')",marshall
"('couture', 'noun')","It was the branding of these products, rather than the couture itself, that would become the foundation of the industry, generating huge global sales by the last quarter of the century."
"('stroboscopic', 'adjective')",stroboscopic
"('teaching', 'noun')",Many follow the teachings of Confucius.
"('complexity', 'noun')","The battle was like the grinding of an immense and terrible machine to him. Its complexities and powers, its grim processes, fascinated him."
"('book-maker', 'noun')",book-maker
"('bellamy', 'None')",bellamy
"('arsenal', 'noun')",Foremost in her arsenal is that smile – so enormous and so absurdly disarming that someone should have worked out a way to harness its power into international conflict resolution.
"('freedom', 'noun')",Synonym: freehood
"('5930', 'None')",5930
"('secret', 'adjective')",We went down a secret passage.
"('skodas', 'None')",skodas
"('rathbone', 'None')",rathbone
"('manager', 'noun')",And it was a fitting victory for Liverpool as Anfield celebrated the 100th anniversary of the birth of their legendary Scottish manager Bill Shankly.
"('eye', 'noun')",Synonyms: see Thesaurus:eye
"('velocity', 'noun')",The train was travelling at a slower velocity than usual.
"('bosanquet', 'None')",bosanquet
"('sleep', 'noun')",I really need some sleep.
"('know', 'verb')",Question things. I have the most fun when I'm writing questioning things that people do not question- the assumptions that everybody knows are true.
"('cco', 'noun')",cco
"('institutional', 'adjective')","Swindon's Model Lodging House was originally designed by Isambard Kingdom Brunel. The 1847-1849 recession led to delays and plan revisions, including smaller windows in the finished structure, resulting in a more 'institutional' appearance."
"('strasburg', 'None')",strasburg
"('balance', 'noun')","But civilized man is quite a different animal, and when he wipes out an entire city or levels a forest, he is no longer working within the natural balance of things."
"('modesty', 'noun')","At her invitation he outlined for her the succeeding chapters with terse military accuracy ; and what she liked best and best understood was avoidance of that false modesty which condescends, turning technicality into pabulum."
"('+z', 'None')",+z
"('around', 'preposition')",Synonym:  environ
"('devastating', 'adjective')",“The whole world has a stake in maintaining peace and stability in the Taiwan Strait. The security of commercial shipping lanes and global supply chains depends on it. And so does freedom of navigation worldwide. Make no mistake: conflict in the Taiwan Strait would be devastating.”
"('ecological', 'adjective')","Bats host many high-profile viruses that can infect humans, including severe acute respiratory syndrome and Ebola. A recent study explored the ecological variables that may contribute to bats’ propensity to harbor such zoonotic diseases by comparing them with another order of common reservoir hosts: rodents."
"('dazzling', 'adjective')","[H]is ſupercilious glances grevv humbled, yea, his dazeling ſplendor  becomes quickly darkned:  […]"
"('0858', 'None')",0858
"('reg', 'noun')","I've been going to that chat room for months, and I know most of the regs by now."
"('parody-young', 'adjective')",parody-young
"('0572.', 'None')",0572.
"('dealer', 'noun')","Synonyms: salesman, peddler"
"('cheekbone', 'noun')","She was like a Beardsley Salome, he had said. And indeed she had the narrow eyes and the high cheekbone of that creature, and as nearly the sinuosity as is compatible with human symmetry."
"('smiling', 'adjective')",smiling children
"('alice', 'None')",alice
"('tuesday', 'None')",tuesday
"('respiratory', 'adjective')","Bats host many high-profile viruses that can infect humans, including severe acute respiratory syndrome and Ebola. A recent study explored the ecological variables that may contribute to bats’ propensity to harbor such zoonotic diseases by comparing them with another order of common reservoir hosts: rodents."
"('prohibitively', 'adverb')",a prohibitively expensive gift
"('jennet', 'noun')",Richmondʼs black jennet [...] is a gleaming and well-muscled creature of Spanish breed.
"('vii', 'None')",vii
"('joyride', 'verb')","You joyride around for a while listening / to the radio, and then abandon death, walk / away, and leave death for the police / to find."
"('silvery', 'adjective')","OF all th' enamell'd race, whose silvery wing / Waves to the tepid zephyrs of the spring."
"('administer', 'verb')","[Let zephyrs] administer their tepid, genial airs."
"('marie', 'None')",marie
"('seveso', 'None')",seveso
"('inside', 'preposition')",He placed the letter inside the envelope.
"('spell', 'verb')","[…]  although the Kings Jealousie was thus particular to her, his Affection was as general to others  […]  Above all, for a time he was much speld with Elianor Talbot  […]"
"('catalytic', 'adjective')",catalytic
"('rationality', 'noun')",His sudden loss of rationality was brought on by excess drink.
"('scoop', 'verb')",He used both hands to scoop water and splash it on his face.
"('day-care', 'adjective')",day-care
"('deliberate', 'verb')",It is now time for the jury to deliberate the guilt of the defendant.
"('land', 'noun')",Most insects live on land.
"('building', 'noun')",Synonym: construction
"('evening', 'noun')","Energy has seldom been found where we need it when we want it. Ancient nomads, wishing to ward off the evening chill and enjoy a meal around a campfire, had to collect wood and then spend time and effort coaxing the heat of friction out from between sticks to kindle a flame. With more settled people, animals were harnessed to capstans or caged in treadmills to turn grist into meal."
"('miserably', 'adverb')",fail miserably
"('same', 'None')",same
"('baseball', 'noun')","It was not very wonderful that Catherine, who had nothing heroic about her, should prefer cricket, base-ball, riding on horseback, and running about the country at the age of fourteen, to books."
"('circle', 'verb')",The wolves circled the herd of deer.
"('booe', 'verb')",booe
"('suppression', 'noun')","The suppression of uncomfortable ideas may be common in religion and politics, but it is not the path to knowledge; it has no place in the endeavor of science."
"('d', 'None')",d
"('carpaneto', 'None')",carpaneto
"('contrasting', 'adjective')",George W. Bush and John Kerry had contrasting debating styles.
"('near', 'adverb')",He was near unconscious when I found him.
"('treasure', 'noun')","""Now,"" resumed Silver, ""here it is. You give us the chart to get the treasure by, and drop shooting poor seamen and stoving of their heads in while asleep. You do that, and we'll offer you a choice. Either you come aboard along of us, once the treasure shipped, and then I'll give you my affy-davy, upon my word of honour, to clap you somewhere safe ashore."
"('degrade', 'verb')",Fred degrades himself by his behaviour.
"('6.30', 'None')",6.30
"('cheapy', 'adjective')",cheapy
"('ingredient', 'noun')",By way of analysis we may proceed from compounds to ingredients.
"('cancel', 'verb')","A deed may be avoided by delivering it up to be cancelled; that is, to have lines drawn over it in the form of latticework or cancelli; the phrase is now used figuratively for any manner of obliterating or defacing it."
"('courage', 'noun')",A great part of courage is the courage of having done the thing before.
"('nappy', 'noun')",The baby did a poo in her nappy.
"('track', 'verb')",We will track the raven population over the next six months.
"('mezzo-soprano', 'noun')",mezzo-soprano
"('$16m.', 'noun')",$16m.
"('point blank', 'adjective')","Here I was brought into point blank collison with Rev. Dr. Cox, who made me the  subject not only of bitter remark in the convention, but also of a long      denunciatory letter published in the New York Evangelist and other American papers."
"('ballad', 'noun')",The poet composed a ballad praising the heroic exploits of the fallen commander.
"('publicity', 'noun')","Any publicity, runs the axiom, is good publicity."
"('secondary', 'adjective')",the work of secondary hands
"('outmoded', 'adjective')",His pipe was as outmoded as his ideas.
"('supply', 'verb')",to supply money for the war
"('ecosystem', 'noun')","Phoenix and Lubbock are both caught in severe drought, and it is going to get much worse. We may see many such [dust] storms in the decades ahead, along with species extinctions, radical disturbance of ecosystems, and intensified social conflict over land and water. Welcome to the Anthropocene, the epoch when humans have become a major geological and climatic force."
"('hyrax', 'noun')",hyrax
"('interrelate', 'verb')",interrelate
"('1973', 'None')",1973
"('/day', 'None')",/day
"('dim', 'adjective')",The lighting was too dim for me to make out his facial features.
"('aeroplane', 'noun')",aeroplane
"('speck', 'noun')",a tiny speck of soot
"('avon', 'None')",avon
"('lydsett', 'None')",lydsett
"('notable', 'verb')",notable
"('dissolution', 'noun')","Synonyms: abolition, disestablishment"
"('sterilize', 'verb')","In China, the issue of forced abortions has resurfaced with the allegations by escaped activist Chen Guangcheng, but the outgoing premier Wen Jiabao has publicly called for a ban not only on forced abortion, but also of “fetus gender identification.” Nevertheless, many women who have abortions in China are also sterilized against their will."
"('homosexual', 'noun')","Soon, we got up, walked around the west side — toward the ""meat rack"" — the gay part of the park. There, it was as if someone had hung a line of marionettes on the railing: the lonesome young homosexuals, legs dangling, looking, waiting for that one-night's sexual connection..."
"('persona', 'noun')",He keeps his online persona completely separate from his real-world one.
"('lintel', 'noun')","Athelny had told him that he lived in a house built by Inigo Jones; he had raved, as he raved over everything, over the balustrade of old oak; and when he came down to open the door for Philip he made him at once admire the elegant carving of the lintel."
"('backing', 'noun')",It's a volunteer organization that works with backing from the city and a few grants.
"('gartree', 'None')",gartree
"('frick', 'None')",frick
"('picasso', 'None')",picasso
"('recreation', 'noun')",recreation
"('conceptually', 'adverb')",The end of the 20th century and the start of the new millennium have bore witness to a remarkable revolution in the way parasite/host biological interactions can be conceptually designed and experimentally studied.
"('marcus', 'None')",marcus
"('gross', 'adjective')","Synonyms: serious, flagrant, shameful, appalling, egregious."
"('election', 'noun')",The parliamentary election will be held in March.
"('ocean-going', 'adjective')",ocean-going
"('53', 'None')",53
"('gender', 'noun')","[…] plant nettles or sow lettuce, set hyssop and weed up thyme, supply it with one gender of herbs or distract it with many […]"
"('withdrawing', 'noun')",withdrawing
"('distinguish', 'verb')","Synonyms: differentiate, discriminate; see also Thesaurus:tell apart"
"('leaver', 'noun')",This year's school leavers have excellent grades.
"('several', 'None')",several
"('fulham', 'None')",fulham
"('calm', 'verb')",to calm a crying baby
"('trash', 'noun')",A haunch of venison would be trash to a Brahmin.
"('shephard', 'None')",shephard
"('clark', 'None')",clark
"('ketchup', 'noun')",Synonym: tomato catsup
"('assertion', 'noun')",You're a man of strong assertions!
"('someone', 'None')",someone
"('cohesion', 'noun')",Unit cohesion is important in the military.
"('kno', 'None')",kno
"('zoom', 'noun')",the zoom of traffic
"('remediable', 'adjective')","Then from his cavernous armpit drew and gave The singing leaves, not such as erst I knew, But strange, disjointed, where the unmeasured feet Staggered allwhither in pursuit of rhyme, And could not find it; assonance instead, Cases and verbs misplaced—remediable those — Broad-shouldered coarseness, fondly meant for wit."
"('perry', 'None')",perry
"('m', 'noun')","Another instance: 2h28m p. m., 10 micra; 3h08m p. m., 0 micra; irrigated with water: 3h09m p. m., 4 micra."
"('caution', 'noun')",take caution
"('musical', 'noun')",musical
"('smarty', 'noun')",Synonyms: smart aleck; see also Thesaurus:know-it-all
"('employ', 'verb')",Yesterday our local garage employed a new mechanic.
"('lens', 'noun')","Not long ago, it was difficult to produce photographs of tiny creatures with every part in focus. That’s because the lenses that are excellent at magnifying tiny subjects produce a narrow depth of field."
"('£7,000', 'noun')","£7,000"
"('completely', 'adverb')","It should not have been omitted that previous to completely stripping the body of the leviathan, he was beheaded."
"('laconically', 'adverb')","The ""King"" responded well to this treatment and would have maintained 60 m.p.h. up the steepest part had it not been for a brief bout of slipping, which was quickly corrected by Driver Bailes ."
"('enclose', 'verb')",to enclose lands
"('jane', 'None')",jane
"('turnout', 'noun')","Depending on the location of a restaurant, weekdays may equally experience low turnout."
"('counter-productive', 'adjective')",counter-productive
"('suitability', 'noun')",suitability
"('border-free', 'adjective')",border-free
"('neglect', 'verb')",to neglect duty or business;  to neglect to pay debts
"('personnel', 'noun')","People like to see such friendly relationship existing between the respective personnels of their Army, Navy and Marine Corps."
"('augustinian', 'adjective')",augustinian
"('portray', 'verb')",I will portray a king on horseback.
"('aitken', 'adjective')",aitken
"('entrepreneur', 'noun')","Every rail company worth its salt wanted to connect with London. Interestingly, it was largely that way around - provincial entrepreneurs wanting to connect with the capital, rather than London capitalists seeking to spread outwards."
"('brixton', 'None')",brixton
"('inside', 'adjective')",The inside surface of the cup is unpainted.
"('by', 'None')",by
"('ear-mark', 'verb')",ear-mark
"('stadium', 'noun')","In a convulsion that has caught many in Brazil and beyond by surprise, waves of protesters denounced their leaders for dedicating so many resources to cultivating Brazil’s global image by building stadiums for international events, when basic services like education and health care remain woefully inadequate."
"('appear', 'verb')","And God […] said, Let […] the dry land appear."
"('ouch', 'None')",ouch
"('remains', 'noun')",They buried the remains of their longtime friend in the town cemetery.
"('partnership', 'noun')",forge a partnership
"('cloudy', 'adjective')","[…]  aerogel resembles smoke that has been frozen into place — it's cloudy, translucent and virtually weightless."
"('per', 'preposition')",Admission is £10 per person.
"('lloyd', 'None')",lloyd
"('anybod', 'None')",anybod
"('jeremy', 'None')",jeremy
"('heinousness', 'noun')","But again that last scene at Compiegne rose visibly before her; not only his falsehood to her, but his slander of her, came to mind. It seemed as if she had never felt their full heinousness till now—now that with shame she owned that for a moment she had relented in his favour."
"('justification', 'noun')",[…]  to articulate a common understanding of our justification by God’s grace through faith in Christ.
"('cegb', 'None')",cegb
"('heady', 'adjective')",The cocktail was a heady mixture of spirits.
